Timestamp,X (g),Y (g),Z (g),Magnitude (g)
206.473,0.250000,0.046875,0.906250,0.941268
206.479,0.250000,0.046875,0.906250,0.941268
206.481,0.250000,0.046875,0.890625,0.926234
206.483,0.250000,0.046875,0.906250,0.941268
206.483,0.250000,0.046875,0.921875,0.956321
206.487,0.265625,0.046875,0.906250,0.945538
206.488,0.265625,0.046875,0.906250,0.945538
206.507,0.250000,0.046875,0.921875,0.956321
206.547,0.250000,0.046875,0.906250,0.941268
206.548,0.250000,0.031250,0.906250,0.940620
206.549,0.250000,0.046875,0.906250,0.941268
206.628,0.250000,0.046875,0.906250,0.941268
206.669,0.250000,0.046875,0.906250,0.941268
206.669,0.265625,0.046875,0.906250,0.945538
206.671,0.265625,0.031250,0.906250,0.944893
206.671,0.265625,0.031250,0.906250,0.944893
206.671,0.265625,0.046875,0.906250,0.945538
206.707,0.250000,0.046875,0.906250,0.941268
206.708,0.265625,0.046875,0.906250,0.945538
206.786,0.265625,0.046875,0.906250,0.945538
206.826,0.250000,0.046875,0.906250,0.941268
206.829,0.250000,0.031250,0.906250,0.940620
206.836,0.250000,0.046875,0.906250,0.941268
206.836,0.250000,0.031250,0.906250,0.940620
206.837,0.265625,0.031250,0.906250,0.944893
206.838,0.250000,0.031250,0.906250,0.940620
206.867,0.234375,0.046875,0.906250,0.937240
206.907,0.234375,0.046875,0.906250,0.937240
206.908,0.250000,0.046875,0.906250,0.941268
206.909,0.250000,0.046875,0.921875,0.956321
206.947,0.265625,0.046875,0.906250,0.945538
206.948,0.265625,0.046875,0.890625,0.930573
206.993,0.250000,0.046875,0.906250,0.941268
207.027,0.250000,0.046875,0.906250,0.941268
207.030,0.234375,0.031250,0.921875,0.951715
207.030,0.265625,0.046875,0.906250,0.945538
207.067,0.265625,0.046875,0.906250,0.945538
207.070,0.250000,0.046875,0.921875,0.956321
207.110,0.234375,0.046875,0.921875,0.952356
207.153,0.234375,0.031250,0.921875,0.951715
207.154,0.234375,0.046875,0.921875,0.952356
207.226,0.218750,0.046875,0.921875,0.948632
207.266,0.218750,0.062500,0.953125,0.979901
207.267,0.250000,0.187500,0.984375,1.032788
207.268,0.406250,0.359375,1.062500,1.192936
207.269,0.421875,0.265625,1.125000,1.230512
207.306,0.421875,0.312500,1.078125,1.199161
207.307,0.375000,0.312500,1.062500,1.169268
207.357,0.375000,0.312500,1.062500,1.169268
207.431,0.390625,0.312500,1.093750,1.202719
207.483,0.406250,0.234375,1.046875,1.147135
207.509,0.343750,0.156250,1.000000,1.068914
207.510,0.281250,0.093750,0.937500,0.983258
207.513,0.250000,0.031250,0.906250,0.940620
207.513,0.187500,-0.015625,0.859375,0.879731
207.513,0.125000,-0.109375,0.812500,0.829303
207.514,0.078125,-0.187500,0.796875,0.822356
207.514,0.046875,-0.265625,0.765625,0.811748
207.516,0.015625,-0.375000,0.718750,0.810846
207.547,0.015625,-0.437500,0.656250,0.788869
207.598,-0.015625,-0.515625,0.593750,0.786545
