Timestamp,X (g),Y (g),Z (g),Magnitude (g)
17.102,-0.031250,0.953125,-0.062500,0.955683
17.104,-0.046875,0.953125,-0.062500,0.956321
17.106,-0.046875,0.953125,-0.062500,0.956321
17.110,-0.031250,0.953125,-0.046875,0.954789
17.140,-0.046875,0.953125,-0.046875,0.955428
17.141,-0.046875,0.953125,-0.046875,0.955428
17.222,-0.031250,0.953125,-0.046875,0.954789
17.228,-0.046875,0.953125,-0.062500,0.956321
17.258,-0.046875,0.953125,-0.062500,0.956321
17.260,-0.046875,0.953125,-0.046875,0.955428
17.340,-0.031250,0.937500,-0.046875,0.939191
17.342,-0.046875,0.953125,-0.046875,0.955428
17.343,-0.046875,0.953125,-0.046875,0.955428
17.351,-0.046875,0.953125,-0.031250,0.954789
17.378,-0.046875,0.953125,-0.046875,0.955428
17.380,-0.046875,0.953125,-0.046875,0.955428
17.420,-0.046875,0.953125,-0.046875,0.955428
17.423,-0.046875,0.953125,-0.046875,0.955428
17.460,-0.046875,0.953125,-0.046875,0.955428
17.498,-0.046875,0.937500,-0.062500,0.940750
17.499,-0.046875,0.953125,-0.062500,0.956321
17.500,-0.046875,0.953125,-0.062500,0.956321
17.500,-0.062500,0.953125,-0.062500,0.957215
17.540,-0.046875,0.953125,-0.062500,0.956321
17.543,-0.046875,0.953125,-0.046875,0.955428
17.578,-0.046875,0.937500,-0.062500,0.940750
17.579,-0.046875,0.953125,-0.046875,0.955428
17.636,-0.046875,0.937500,-0.062500,0.940750
17.662,-0.031250,0.953125,-0.062500,0.955683
17.666,-0.031250,0.968750,-0.046875,0.970387
17.700,-0.046875,0.953125,-0.046875,0.955428
17.705,-0.046875,0.953125,-0.046875,0.955428
17.707,-0.046875,0.953125,-0.046875,0.955428
17.739,-0.046875,0.953125,-0.046875,0.955428
17.741,-0.046875,0.937500,-0.046875,0.939841
17.779,-0.046875,0.937500,-0.046875,0.939841
17.820,-0.046875,0.953125,-0.046875,0.955428
17.821,-0.046875,0.953125,-0.046875,0.955428
17.821,-0.046875,0.953125,-0.062500,0.956321
17.860,-0.046875,0.953125,-0.062500,0.956321
17.861,-0.046875,0.953125,-0.062500,0.956321
17.919,-0.046875,0.953125,-0.046875,0.955428
17.941,-0.046875,0.953125,-0.062500,0.956321
17.942,-0.031250,0.953125,-0.046875,0.954789
17.943,-0.046875,0.937500,-0.046875,0.939841
17.967,-0.046875,0.937500,-0.062500,0.940750
17.981,-0.046875,0.937500,-0.062500,0.940750
17.982,-0.046875,0.937500,-0.062500,0.940750
18.021,-0.046875,0.953125,-0.062500,0.956321
18.059,-0.046875,0.953125,-0.062500,0.956321
18.061,-0.046875,0.953125,-0.062500,0.956321
18.063,-0.046875,0.953125,-0.062500,0.956321
18.098,-0.046875,0.953125,-0.062500,0.956321
18.139,-0.046875,0.953125,-0.062500,0.956321
18.178,-0.031250,0.953125,-0.062500,0.955683
18.179,-0.046875,0.937500,-0.062500,0.940750
18.233,-0.046875,0.953125,-0.062500,0.956321
18.233,-0.046875,0.953125,-0.062500,0.956321
18.259,-0.046875,0.953125,-0.062500,0.956321
18.299,-0.046875,0.953125,-0.062500,0.956321
18.300,-0.046875,0.953125,-0.062500,0.956321
18.300,-0.062500,0.953125,-0.078125,0.958362
18.338,-0.046875,0.953125,-0.062500,0.956321
18.339,-0.046875,0.953125,-0.062500,0.956321
18.379,-0.046875,0.953125,-0.062500,0.956321
18.458,-0.046875,0.953125,-0.062500,0.956321
18.458,-0.046875,0.937500,-0.078125,0.941917
18.461,-0.046875,0.937500,-0.078125,0.941917
18.461,-0.046875,0.953125,-0.078125,0.957470
18.462,-0.046875,0.953125,-0.078125,0.957470
18.462,-0.046875,0.953125,-0.078125,0.957470
18.498,-0.046875,0.953125,-0.078125,0.957470
18.538,-0.046875,0.953125,-0.093750,0.958871
18.539,-0.046875,0.937500,-0.093750,0.943341
18.539,-0.046875,0.937500,-0.078125,0.941917
18.579,-0.046875,0.937500,-0.078125,0.941917
18.579,-0.046875,0.937500,-0.078125,0.941917
18.618,-0.031250,0.937500,-0.078125,0.941268
18.675,-0.046875,0.953125,-0.093750,0.958871
18.675,-0.046875,0.953125,-0.093750,0.958871
18.675,-0.031250,0.953125,-0.093750,0.958234
18.698,-0.031250,0.953125,-0.093750,0.958234
18.699,-0.031250,0.953125,-0.093750,0.958234
18.738,-0.031250,0.968750,-0.093750,0.973777
18.850,-0.031250,0.953125,-0.093750,0.958234
18.851,-0.046875,0.953125,-0.093750,0.958871
18.851,-0.046875,0.953125,-0.078125,0.957470
18.851,-0.046875,0.953125,-0.093750,0.958871
18.852,-0.031250,0.953125,-0.078125,0.956832
18.867,-0.031250,0.953125,-0.078125,0.956832
18.904,-0.031250,0.953125,-0.078125,0.956832
18.904,-0.031250,0.953125,-0.093750,0.958234
18.905,-0.046875,0.937500,-0.093750,0.943341
18.938,-0.031250,0.937500,-0.093750,0.942694
18.939,-0.031250,0.937500,-0.109375,0.944376
18.980,-0.046875,0.937500,-0.109375,0.945022
19.065,-0.046875,0.953125,-0.109375,0.960525
19.065,-0.046875,0.937500,-0.109375,0.945022
19.070,-0.046875,0.937500,-0.109375,0.945022
19.070,-0.046875,0.937500,-0.109375,0.945022
19.071,-0.031250,0.937500,-0.109375,0.944376
19.071,-0.031250,0.953125,-0.109375,0.959889
19.104,-0.031250,0.953125,-0.109375,0.959889
19.153,-0.031250,0.953125,-0.093750,0.958234
19.153,-0.031250,0.953125,-0.078125,0.956832
19.154,-0.046875,0.937500,-0.078125,0.941917
19.260,-0.046875,0.953125,-0.078125,0.957470
19.260,-0.031250,0.968750,-0.078125,0.972397
19.261,-0.031250,0.953125,-0.062500,0.955683
19.263,-0.031250,0.968750,-0.062500,0.971267
19.299,-0.031250,0.953125,-0.062500,0.955683
19.339,-0.031250,0.937500,-0.078125,0.941268
19.379,-0.031250,0.953125,-0.109375,0.959889
19.423,-0.031250,0.968750,-0.109375,0.975406
19.424,-0.015625,0.968750,-0.078125,0.972021
19.424,-0.046875,0.984375,-0.078125,0.988582
19.424,-0.031250,1.015625,-0.062500,1.018026
19.424,-0.031250,1.015625,-0.031250,1.016586
19.424,0.000000,1.046875,0.000000,1.046875
19.459,0.015625,1.046875,-0.015625,1.047108
19.466,0.031250,1.078125,0.015625,1.078691
19.499,-0.078125,1.015625,0.015625,1.018745
19.499,-0.078125,1.015625,0.015625,1.018745
19.540,-0.125000,0.906250,-0.062500,0.916963
19.542,-0.062500,0.921875,-0.125000,0.932408
19.579,-0.062500,0.890625,-0.218750,0.919223
19.584,-0.062500,0.906250,-0.171875,0.924520
19.658,-0.062500,0.875000,-0.234375,0.907999
19.662,-0.140625,0.890625,-0.250000,0.935675
19.662,-0.093750,0.968750,-0.171875,0.988335
19.662,-0.125000,1.031250,-0.156250,1.050484
19.699,-0.093750,1.109375,-0.171875,1.126518
19.699,-0.093750,1.125000,-0.187500,1.144365
19.738,-0.062500,1.109375,-0.140625,1.119998
19.739,-0.078125,1.156250,-0.156250,1.169372
19.781,-0.078125,1.156250,-0.078125,1.161517
19.782,-0.062500,1.218750,-0.109375,1.225243
19.819,-0.062500,1.171875,-0.109375,1.178626
19.865,-0.093750,1.234375,-0.125000,1.244225
19.865,-0.078125,1.265625,-0.109375,1.272742
19.866,-0.031250,1.281250,-0.109375,1.286290
19.898,-0.015625,1.250000,-0.093750,1.253608
19.901,-0.031250,1.250000,-0.109375,1.255165
19.939,-0.062500,1.281250,-0.156250,1.292255
19.939,-0.046875,1.250000,-0.109375,1.255651
19.940,-0.062500,1.234375,-0.062500,1.237536
19.978,-0.062500,1.218750,-0.062500,1.221951
19.979,-0.031250,1.187500,-0.031250,1.188322
20.051,-0.031250,1.156250,-0.015625,1.156778
20.059,-0.046875,1.109375,-0.046875,1.111354
20.099,-0.015625,1.062500,-0.031250,1.063074
20.138,-0.062500,1.046875,-0.031250,1.049204
20.139,-0.046875,1.000000,0.000000,1.001098
20.140,-0.046875,0.968750,0.031250,0.970387
20.178,-0.062500,0.937500,0.093750,0.944247
20.179,-0.046875,0.953125,0.093750,0.958871
20.220,-0.031250,0.890625,0.062500,0.893362
20.221,-0.046875,0.750000,0.031250,0.752113
20.300,-0.031250,0.625000,0.062500,0.628894
20.300,-0.015625,0.453125,0.171875,0.484879
20.301,0.000000,0.265625,0.109375,0.287262
20.301,-0.031250,0.312500,0.140625,0.344105
20.340,-0.046875,0.390625,0.171875,0.429332
20.341,0.062500,0.296875,0.171875,0.348686
20.381,0.015625,0.281250,0.140625,0.314835
20.456,-0.031250,0.484375,0.125000,0.501219
20.456,-0.031250,0.593750,0.171875,0.618916
20.457,-0.031250,0.671875,0.187500,0.698247
20.459,-0.046875,0.796875,0.187500,0.819978
20.461,-0.015625,0.843750,0.328125,0.905441
20.461,-0.031250,0.812500,0.265625,0.855388
20.538,-0.031250,0.843750,0.203125,0.868418
20.539,-0.031250,0.843750,0.203125,0.868418
20.539,-0.062500,0.906250,0.281250,0.950945
20.540,-0.078125,0.937500,0.296875,0.986481
20.578,-0.078125,0.906250,0.250000,0.943341
20.585,-0.078125,0.906250,0.312500,0.961795
20.618,-0.078125,0.890625,0.312500,0.947086
20.666,-0.078125,0.875000,0.218750,0.905307
20.699,-0.078125,0.875000,0.187500,0.898268
20.705,-0.078125,0.859375,0.281250,0.907596
20.705,-0.046875,0.828125,0.343750,0.897860
20.706,-0.046875,0.843750,0.312500,0.900981
20.738,-0.093750,0.906250,0.281250,0.953509
20.784,-0.093750,0.921875,0.328125,0.983010
20.784,-0.078125,0.937500,0.359375,1.007055
20.784,-0.093750,0.921875,0.359375,0.993878
20.855,-0.062500,0.937500,0.343750,1.000488
20.855,-0.031250,0.953125,0.312500,1.003534
20.859,-0.031250,0.937500,0.359375,1.004506
20.899,-0.031250,0.906250,0.390625,0.987347
20.900,-0.046875,0.906250,0.359375,0.976031
20.900,-0.031250,0.859375,0.343750,0.926103
20.939,-0.046875,0.875000,0.343750,0.941268
20.939,-0.046875,0.890625,0.343750,0.955811
20.940,-0.031250,0.890625,0.312500,0.944376
20.984,-0.031250,0.875000,0.296875,0.924520
21.018,-0.015625,0.875000,0.281250,0.919223
21.019,-0.031250,0.875000,0.296875,0.924520
21.019,-0.046875,0.906250,0.312500,0.959762
21.070,-0.046875,0.890625,0.296875,0.939971
21.071,-0.031250,0.890625,0.281250,0.934500
21.100,-0.015625,0.906250,0.296875,0.953765
21.138,-0.046875,0.875000,0.296875,0.925179
21.139,-0.031250,0.859375,0.281250,0.904767
21.139,-0.015625,0.843750,0.296875,0.894591
21.265,-0.031250,0.843750,0.281250,0.889939
21.266,-0.031250,0.843750,0.250000,0.880563
21.266,-0.031250,0.843750,0.234375,0.876255
21.267,-0.031250,0.843750,0.203125,0.868418
21.304,-0.031250,0.796875,0.187500,0.819233
21.338,-0.031250,0.796875,0.171875,0.815799
21.379,-0.046875,0.781250,0.140625,0.795188
21.384,-0.031250,0.781250,0.140625,0.794420
21.384,-0.046875,0.781250,0.125000,0.792574
21.385,-0.046875,0.781250,0.109375,0.790261
21.418,-0.031250,0.765625,0.109375,0.774029
21.419,-0.031250,0.750000,0.078125,0.754705
21.470,-0.031250,0.734375,0.078125,0.739180
21.499,-0.031250,0.718750,0.078125,0.723659
21.504,-0.031250,0.718750,0.062500,0.722139
21.504,-0.015625,0.734375,0.062500,0.737195
21.504,-0.015625,0.734375,0.062500,0.737195
21.539,-0.015625,0.734375,0.062500,0.737195
21.539,0.000000,0.703125,0.046875,0.704686
21.579,0.000000,0.656250,0.046875,0.657922
21.645,-0.015625,0.687500,0.062500,0.690512
21.648,0.000000,0.687500,0.046875,0.689096
21.648,0.000000,0.703125,0.031250,0.703819
21.662,0.015625,0.703125,0.031250,0.703993
21.662,0.000000,0.718750,0.000000,0.718750
21.704,-0.015625,0.750000,-0.015625,0.750325
21.704,-0.015625,0.734375,-0.015625,0.734707
21.778,-0.031250,0.765625,-0.015625,0.766422
21.779,-0.031250,0.812500,-0.031250,0.813701
21.780,-0.031250,0.843750,-0.046875,0.845629
21.780,-0.046875,0.859375,-0.046875,0.861928
21.823,-0.015625,0.875000,-0.015625,0.875279
21.860,-0.015625,0.890625,-0.015625,0.890899
21.861,-0.015625,0.937500,-0.046875,0.938801
21.864,-0.015625,0.937500,-0.046875,0.938801
21.899,-0.015625,0.984375,0.000000,0.984499
21.900,0.000000,1.046875,0.015625,1.046992
21.948,-0.031250,1.062500,-0.046875,1.063993
22.039,-0.031250,1.062500,-0.093750,1.067086
22.039,-0.046875,1.031250,-0.078125,1.035267
22.040,-0.140625,1.062500,-0.187500,1.088043
22.040,-0.609375,3.421875,0.218750,3.482588
22.040,-0.578125,3.140625,0.140625,3.196487
22.040,-0.734375,1.687500,0.609375,1.938634
22.060,0.265625,-1.750000,0.218750,1.783510
22.099,0.046875,-0.781250,0.328125,0.848655
22.099,0.421875,0.265625,0.125000,0.513965
22.100,0.343750,1.375000,0.078125,1.419469
22.138,-0.359375,3.312500,-0.468750,3.364749
22.139,-0.078125,1.468750,-0.015625,1.470909
22.220,-0.046875,-0.812500,0.406250,0.909611
22.221,-0.156250,0.593750,0.093750,0.621081
22.265,-0.156250,1.812500,-0.234375,1.834258
22.269,-0.015625,0.796875,0.234375,0.830774
22.298,0.062500,0.875000,0.031250,0.877786
22.301,0.031250,0.828125,0.046875,0.830039
