Timestamp,X (g),Y (g),Z (g),Magnitude (g)
12.385,-0.062500,-0.875000,0.406250,0.966732
12.419,-0.062500,-0.859375,0.406250,0.952613
12.438,-0.062500,-0.875000,0.390625,0.960270
12.447,-0.062500,-0.875000,0.390625,0.960270
12.457,-0.062500,-0.875000,0.390625,0.960270
12.487,-0.062500,-0.875000,0.390625,0.960270
12.502,-0.062500,-0.875000,0.390625,0.960270
12.518,-0.046875,-0.875000,0.406250,0.965847
12.547,-0.062500,-0.859375,0.406250,0.952613
12.562,-0.046875,-0.859375,0.421875,0.958489
12.576,-0.046875,-0.859375,0.406250,0.951715
12.592,-0.046875,-0.859375,0.390625,0.945151
12.629,-0.062500,-0.875000,0.406250,0.966732
12.636,-0.062500,-0.875000,0.406250,0.966732
12.651,-0.062500,-0.875000,0.390625,0.960270
12.682,-0.046875,-0.875000,0.390625,0.959380
12.696,-0.078125,-0.875000,0.390625,0.961414
12.726,-0.062500,-0.859375,0.390625,0.946055
12.728,-0.062500,-0.859375,0.375000,0.939711
12.757,-0.062500,-0.859375,0.390625,0.946055
12.772,-0.046875,-0.859375,0.390625,0.945151
12.787,-0.062500,-0.875000,0.390625,0.960270
12.817,-0.062500,-0.875000,0.390625,0.960270
12.832,-0.078125,-0.875000,0.390625,0.961414
12.863,-0.062500,-0.875000,0.390625,0.960270
12.863,-0.062500,-0.859375,0.390625,0.946055
12.904,-0.062500,-0.859375,0.390625,0.946055
12.907,-0.078125,-0.875000,0.406250,0.967868
12.960,-0.062500,-0.875000,0.406250,0.966732
12.969,-0.062500,-0.875000,0.390625,0.960270
12.969,-0.046875,-0.875000,0.390625,0.959380
12.982,-0.046875,-0.875000,0.390625,0.959380
12.996,-0.062500,-0.875000,0.390625,0.960270
13.072,-0.062500,-0.875000,0.390625,0.960270
13.074,-0.062500,-0.859375,0.406250,0.952613
13.101,-0.062500,-0.875000,0.390625,0.960270
13.116,-0.062500,-0.875000,0.390625,0.960270
13.186,-0.062500,-0.875000,0.390625,0.960270
13.186,-0.062500,-0.859375,0.406250,0.952613
13.186,-0.046875,-0.859375,0.406250,0.951715
13.191,-0.046875,-0.875000,0.406250,0.965847
13.222,-0.046875,-0.875000,0.406250,0.965847
13.248,-0.046875,-0.875000,0.390625,0.959380
13.254,-0.046875,-0.875000,0.390625,0.959380
13.269,-0.046875,-0.875000,0.390625,0.959380
13.296,-0.078125,-0.859375,0.390625,0.947215
13.312,-0.062500,-0.875000,0.390625,0.960270
13.334,-0.062500,-0.875000,0.390625,0.960270
13.341,-0.062500,-0.859375,0.406250,0.952613
13.372,-0.062500,-0.859375,0.406250,0.952613
13.387,-0.046875,-0.859375,0.390625,0.945151
13.402,-0.062500,-0.859375,0.406250,0.952613
13.432,-0.062500,-0.875000,0.406250,0.966732
13.465,-0.062500,-0.859375,0.390625,0.946055
13.465,-0.062500,-0.859375,0.390625,0.946055
13.477,-0.062500,-0.875000,0.390625,0.960270
13.506,-0.062500,-0.875000,0.390625,0.960270
13.522,-0.062500,-0.875000,0.390625,0.960270
13.540,-0.046875,-0.859375,0.406250,0.951715
13.566,-0.046875,-0.875000,0.406250,0.965847
13.581,-0.046875,-0.859375,0.406250,0.951715
13.596,-0.046875,-0.875000,0.406250,0.965847
13.612,-0.062500,-0.859375,0.390625,0.946055
13.641,-0.046875,-0.859375,0.390625,0.945151
13.656,-0.062500,-0.875000,0.390625,0.960270
13.671,-0.062500,-0.859375,0.390625,0.946055
13.719,-0.062500,-0.875000,0.390625,0.960270
13.720,-0.062500,-0.890625,0.390625,0.974529
13.732,-0.062500,-0.875000,0.390625,0.960270
13.760,-0.062500,-0.875000,0.390625,0.960270
13.826,-0.062500,-0.859375,0.390625,0.946055
13.826,-0.062500,-0.875000,0.390625,0.960270
13.827,-0.046875,-0.875000,0.390625,0.959380
13.828,-0.046875,-0.875000,0.390625,0.959380
13.851,-0.046875,-0.875000,0.390625,0.959380
13.868,-0.062500,-0.859375,0.390625,0.946055
13.881,-0.062500,-0.859375,0.406250,0.952613
13.915,-0.062500,-0.875000,0.390625,0.960270
13.932,-0.062500,-0.859375,0.406250,0.952613
13.961,-0.062500,-0.859375,0.390625,0.946055
13.965,-0.062500,-0.859375,0.390625,0.946055
14.012,-0.046875,-0.875000,0.375000,0.953125
14.016,-0.062500,-0.859375,0.390625,0.946055
14.064,-0.062500,-0.859375,0.390625,0.946055
14.076,-0.062500,-0.875000,0.375000,0.954021
14.092,-0.062500,-0.875000,0.390625,0.960270
14.121,-0.062500,-0.859375,0.406250,0.952613
14.136,-0.078125,-0.875000,0.390625,0.961414
14.151,-0.062500,-0.875000,0.390625,0.960270
14.181,-0.046875,-0.875000,0.406250,0.965847
14.196,-0.046875,-0.875000,0.390625,0.959380
14.231,-0.062500,-0.875000,0.406250,0.966732
14.235,-0.062500,-0.859375,0.406250,0.952613
14.257,-0.046875,-0.859375,0.421875,0.958489
14.271,-0.046875,-0.875000,0.421875,0.972523
14.290,-0.046875,-0.875000,0.375000,0.953125
14.318,-0.046875,-0.859375,0.375000,0.938801
14.333,-0.046875,-0.875000,0.375000,0.953125
14.347,-0.046875,-0.875000,0.375000,0.953125
14.362,-0.046875,-0.859375,0.375000,0.938801
14.391,-0.046875,-0.859375,0.375000,0.938801
14.423,-0.046875,-0.859375,0.390625,0.945151
14.428,-0.046875,-0.875000,0.390625,0.959380
14.452,-0.046875,-0.859375,0.406250,0.951715
14.523,-0.062500,-0.843750,0.421875,0.945409
14.523,-0.062500,-0.859375,0.437500,0.966353
14.524,-0.062500,-0.859375,0.437500,0.966353
14.527,-0.062500,-0.859375,0.437500,0.966353
14.542,-0.078125,-0.890625,0.453125,1.002317
14.557,-0.109375,-0.921875,0.484375,1.047108
14.571,-0.125000,-1.046875,0.531250,1.180593
14.601,-0.171875,-1.218750,0.609375,1.373401
14.616,-0.187500,-1.359375,0.687500,1.534833
14.632,-0.234375,-1.531250,0.765625,1.727958
14.665,-0.265625,-1.656250,0.828125,1.870698
14.691,-0.312500,-1.703125,0.875000,1.940081
14.692,-0.328125,-1.703125,0.875000,1.942659
14.707,-0.296875,-1.703125,0.859375,1.930620
14.751,-0.265625,-1.718750,0.828125,1.926253
14.751,-0.203125,-1.718750,0.828125,1.918633
14.775,-0.125000,-1.703125,0.828125,1.897907
14.798,-0.062500,-1.625000,0.781250,1.804129
14.812,-0.031250,-1.406250,0.750000,1.594056
14.875,0.000000,-1.156250,0.656250,1.329503
14.875,0.015625,-0.812500,0.546875,0.979527
14.875,0.093750,-0.390625,0.453125,0.605557
14.888,0.203125,0.093750,0.390625,0.450152
14.904,0.312500,0.500000,0.328125,0.674776
14.946,0.359375,0.671875,0.203125,0.788560
