# VBT Window Data Export
# Timestamp,20251120_121031
# Status,REJECTED
# Load Weight (kg),16.0
# Baseline (g),0.9376
# Min Depth Threshold (g),0.60
# Min Peak Threshold (g),1.20

# MARKERS
Marker,Time (s),Magnitude (g),Color
counter_movement,0.3998,0.7377,yellow
bottom,0.6241,0.2624,red
peak,0.0453,1.4138,blue
deceleration,2.1095,1.0572,green

# TIME SERIES DATA
Time_Relative (s),Magnitude (g)
0.0000,1.2842
0.0001,1.3400
0.0017,1.4061
0.0453,1.4138
0.0466,1.3900
0.0506,1.3577
0.0507,1.3514
0.0507,1.3560
0.0508,1.4095
0.0615,1.4095
0.1498,1.4053
0.1498,1.3837
0.1499,1.3622
0.1511,1.3330
0.1512,1.2848
0.1744,1.0572
0.2939,0.9096
0.3998,0.7377
0.4368,0.5507
0.4371,0.3022
0.5874,0.2923
0.6241,0.2624
0.7524,0.2873
0.7539,0.2902
0.7540,0.3459
0.7541,0.4367
0.8308,0.5053
1.1284,0.6211
1.3414,0.6791
1.3826,0.7208
1.4117,0.7605
1.4951,0.7466
1.7123,0.7466
1.7127,0.7861
1.7130,0.8368
1.8516,0.8640
2.0293,0.8930
2.1095,1.0572
2.1345,1.0184
2.2365,1.0137
2.2840,1.0219
2.2852,1.0301
2.2889,0.9988
2.2889,0.9988
2.2890,0.9814
2.3134,0.9521
2.3152,0.9452
2.3153,0.9579
2.3498,0.9638
2.3884,0.9511
2.4660,0.9650
2.4692,0.9527
2.4695,0.9409
2.4696,0.9475
2.5783,0.9225
2.6114,0.9358
2.8207,0.9424
2.9168,0.9358
3.0258,0.9475
