Timestamp,X (g),Y (g),Z (g),Magnitude (g)
16.041,0.375000,0.593750,0.640625,0.950560
16.154,0.375000,0.593750,0.640625,0.950560
16.154,0.390625,0.593750,0.640625,0.956832
16.154,0.375000,0.578125,0.640625,0.940879
16.155,0.375000,0.578125,0.640625,0.940879
16.156,0.375000,0.578125,0.640625,0.940879
16.156,0.390625,0.578125,0.640625,0.947215
16.266,0.390625,0.593750,0.640625,0.956832
16.267,0.375000,0.578125,0.640625,0.940879
16.267,0.375000,0.593750,0.640625,0.950560
16.268,0.375000,0.578125,0.640625,0.940879
16.268,0.390625,0.578125,0.640625,0.947215
16.269,0.390625,0.578125,0.640625,0.947215
16.316,0.390625,0.578125,0.640625,0.947215
16.416,0.390625,0.578125,0.640625,0.947215
16.416,0.375000,0.593750,0.640625,0.950560
16.417,0.375000,0.593750,0.640625,0.950560
16.491,0.390625,0.609375,0.640625,0.966605
16.491,0.390625,0.593750,0.640625,0.956832
16.495,0.390625,0.578125,0.625000,0.936718
16.566,0.390625,0.578125,0.625000,0.936718
16.687,0.390625,0.593750,0.640625,0.956832
16.716,0.390625,0.578125,0.656250,0.957852
16.791,0.390625,0.578125,0.640625,0.947215
16.791,0.406250,0.593750,0.640625,0.963316
16.792,0.406250,0.578125,0.625000,0.943341
16.792,0.406250,0.593750,0.640625,0.963316
16.794,0.406250,0.593750,0.625000,0.952997
16.797,0.390625,0.578125,0.625000,0.936718
16.832,0.390625,0.578125,0.625000,0.936718
16.903,0.390625,0.593750,0.625000,0.946442
16.905,0.390625,0.593750,0.625000,0.946442
16.979,0.390625,0.578125,0.625000,0.936718
17.053,0.390625,0.578125,0.625000,0.936718
17.054,0.406250,0.578125,0.625000,0.943341
17.055,0.406250,0.578125,0.625000,0.943341
17.056,0.390625,0.593750,0.640625,0.956832
17.056,0.390625,0.578125,0.640625,0.947215
17.056,0.390625,0.578125,0.640625,0.947215
17.166,0.390625,0.593750,0.625000,0.946442
17.168,0.390625,0.593750,0.640625,0.956832
17.317,0.390625,0.593750,0.625000,0.946442
17.353,0.390625,0.578125,0.625000,0.936718
17.391,0.390625,0.593750,0.625000,0.946442
17.504,0.390625,0.578125,0.625000,0.936718
17.616,0.390625,0.578125,0.625000,0.936718
17.656,0.390625,0.593750,0.625000,0.946442
17.656,0.390625,0.593750,0.625000,0.946442
17.656,0.375000,0.578125,0.625000,0.930311
