record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
2,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
3,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
4,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
5,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
6,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
7,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
8,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
9,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
10,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
11,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
12,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
13,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
14,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
15,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
16,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
17,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
18,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
19,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
20,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
21,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
22,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
23,1207959552,2008-04-12 00:19:12,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
24,1207959552,2008-04-12 00:19:12,20,4,20,0,0,"[0, 0, 0, 0]"
25,1207959556,2008-04-12 00:19:16,0,0,0,0,0,[]
26,1207959584,2008-04-12 00:19:44,0,0,0,0,0,[]
27,1207960576,2008-04-12 00:36:16,0,0,0,0,0,[]
28,1207961600,2008-04-12 00:53:20,20,4,20,0,0,"[0, 0, 0, 0]"
29,1207977984,2008-04-12 05:26:24,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,1207980560,2008-04-12 06:09:20,0,0,0,0,0,[]
31,1208091136,2008-04-13 12:52:16,60,12,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
32,1208094992,2008-04-13 13:56:32,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,1208107264,2008-04-13 17:21:04,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
34,1762000960,2025-11-01 12:42:40,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,1762005568,2025-11-01 13:59:28,0,0,0,0,0,[]
36,1762017312,2025-11-01 17:15:12,60,12,55,5,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
37,1762025984,2025-11-01 19:39:44,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,1762066498,2025-11-02 06:54:58,40,8,25,0,0,"[0, 0, 0, 0, 0]"
39,1762104081,2025-11-02 17:21:21,20,4,20,0,0,"[0, 0, 0, 0]"
