record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1208483840,2008-04-18 01:57:20,0,0,0,0,0,[]
2,1208483840,2008-04-18 01:57:20,0,0,0,0,0,[]
3,1744830464,2025-04-16 19:07:44,0,0,0,0,0,[]
4,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
5,1748500480,2025-05-29 06:34:40,20,4,20,0,0,"[0, 0, 0, 0]"
6,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
7,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
8,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
9,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
10,1748500480,2025-05-29 06:34:40,0,0,0,0,0,[]
