record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
2,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
3,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
4,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
5,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
6,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
7,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
8,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
9,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
10,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
11,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
12,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
13,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
14,1207959556,2008-04-12 00:19:16,0,0,0,0,0,[]
