record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1208500224,2008-04-18 06:30:24,0,0,0,0,0,[]
2,1208483840,2008-04-18 01:57:20,0,0,0,0,0,[]
3,1761083648,2025-10-21 21:54:08,0,0,0,0,0,[]
4,1761083392,2025-10-21 21:49:52,20,4,20,0,0,"[0, 0, 0, 0]"
5,1761083392,2025-10-21 21:49:52,0,0,0,0,0,[]
6,1761083392,2025-10-21 21:49:52,0,0,0,0,0,[]
7,1761083392,2025-10-21 21:49:52,0,0,0,0,0,[]
8,1761083392,2025-10-21 21:49:52,0,0,0,0,0,[]
9,1761084416,2025-10-21 22:06:56,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
10,1761214464,2025-10-23 10:14:24,0,0,0,0,0,[]
11,1745485824,2025-04-24 09:10:24,0,0,0,0,0,[]
12,1745486864,2025-04-24 09:27:44,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,1745486336,2025-04-24 09:18:56,60,12,55,5,0,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
14,1761218584,2025-10-23 11:23:04,60,12,55,5,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
15,1761224264,2025-10-23 12:57:44,60,12,50,10,0,"[0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0]"
16,1761231960,2025-10-23 15:06:00,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
